variable,data,statistical_parity,equal_opportunity,average_odds,instance_num,log_inst_num,class_num,feat_num,log_feat_num,inst_missing_vals,perc_inst_missing_val,feat_missing_val,perc_feat_missing_val,missing_vals,perc_miss_vals,numeric_features,cat_features,ratio_num_cat,ratio_cat_num,dataset_ratio,log_dataset_ratio,inverse_ratio,log_inverse_ratio,class_prob_min,class_prob_max,class_prob_mean,class_prob_std,symbols,symbols_min,symbols_max,symbols_mean,symbols_std,symbols_sum,kurtosis_min,kurtosis_max,kurtosis_mean,kurtosis_std,kurtosis_var,skew_min,skew_max,skew_mean,skew_std,skew_var,class_entropy
race,adult,0.0,0.0,1.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,5.639858197196586,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,-2.763369852206404,6.61338421837956
sex,adult,0.0,0.0,0.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,-1.501940492199525,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,-0.7064211201277086,6.61338421837956
 10th,adult,0.0,0.0,1.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,26.97478389355473,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,5.381203162193258,6.61338421837956
 11th,adult,0.0,0.0,1.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,21.748434966906025,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,4.871794014905299,6.61338421837956
 12th,adult,0.0,0.0,1.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,60.94559627217747,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,7.931342931187308,6.61338421837956
 1st-4th,adult,0.0,0.0,1.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,382.37217672528783,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,19.599107300357176,6.61338421837956
 5th-6th,adult,0.0,0.0,1.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,114.19487215945333,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,10.775948013022354,6.61338421837956
 7th-8th,adult,0.0,0.0,1.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,39.28854955135968,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,6.423640195246879,6.61338421837956
 9th,adult,0.0,0.0,1.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,44.20523966306676,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,6.795341438038589,6.61338421837956
 Assoc-acdm,adult,0.0,0.0,0.0,3094,8.037220031133012,2,103,4.634728988229636,0,0,0,0,0,0,103,0,1.0,0.0,0.0332902391725921,-3.4024910429033755,30.038834951456312,3.402491042903376,0.2407886231415643,0.7592113768584356,0.5,0.2592113768584356,2,0,0,0.0,0.0,0,-1.9585192951024752,3093.9999999999995,328.4980587034663,716.8303066128841,33.28011034060008,-3.085847847200726,55.62373594069352,10.981505447738485,14.472035956249083,5.937895088136934,6.61338421837956
